LedgerLineId,PostingDate,FinancialMonth,CostCentreCode,AccountCode,AccountDescription,SpendType,AmountGBP,Description,SourceDocumentRef
LW-00000068,2025-09-18,2025-09,CC-CORP-900,6200,Bank staff,pay,1431.33,Demo posting Bank staff,DEMO-INV-81895
LW-00000069,2025-09-08,2025-09,CC-URG-401,6100,Agency nursing,pay,1301.47,Demo posting Agency nursing,DEMO-INV-74305
LW-00000070,2025-09-20,2025-09,CC-CORP-900,7200,Equipment,non-pay,1473.47,Demo posting Equipment,DEMO-INV-28892
LW-00000071,2025-09-24,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,1049.65,Demo posting Medical supplies,DEMO-INV-59292
LW-00000072,2025-09-16,2025-09,CC-DEN-115,7200,Equipment,non-pay,2371.71,Demo posting Equipment,DEMO-INV-26624
LW-00000073,2025-09-07,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,1822.3,Demo posting Medical supplies,DEMO-INV-87530
LW-00000074,2025-09-07,2025-09,CC-MH-210,6200,Bank staff,pay,2046.71,Demo posting Bank staff,DEMO-INV-82352
LW-00000075,2025-09-21,2025-09,CC-CORP-900,7200,Equipment,non-pay,1123.3,Demo posting Equipment,DEMO-INV-94806
LW-00000076,2025-09-14,2025-09,CC-MH-210,6100,Agency nursing,pay,1762.39,Demo posting Agency nursing,DEMO-INV-20783
LW-00000077,2025-09-02,2025-09,CC-PAL-330,6100,Agency nursing,pay,1854.01,Demo posting Agency nursing,DEMO-INV-79090
LW-00000078,2025-09-13,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,241.03,Demo posting Medical supplies,DEMO-INV-80090
LW-00000079,2025-09-11,2025-09,CC-CORP-900,7200,Equipment,non-pay,1379.33,Demo posting Equipment,DEMO-INV-82714
LW-00000080,2025-09-01,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,752.97,Demo posting Medical supplies,DEMO-INV-19516
LW-00000081,2025-09-14,2025-09,CC-URG-401,6100,Agency nursing,pay,691.89,Demo posting Agency nursing,DEMO-INV-71445
LW-00000082,2025-09-16,2025-09,CC-PAL-330,6100,Agency nursing,pay,177.56,Demo posting Agency nursing,DEMO-INV-95898
LW-00000083,2025-09-30,2025-09,CC-DEN-115,6200,Bank staff,pay,985.24,Demo posting Bank staff,DEMO-INV-90077
LW-00000084,2025-09-24,2025-09,CC-URG-401,6200,Bank staff,pay,1397.66,Demo posting Bank staff,DEMO-INV-83618
LW-00000085,2025-09-12,2025-09,CC-MH-210,6200,Bank staff,pay,654.02,Demo posting Bank staff,DEMO-INV-66582
LW-00000086,2025-09-27,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,99.22,Demo posting Medical supplies,DEMO-INV-66752
LW-00000087,2025-09-24,2025-09,CC-PAL-330,7200,Equipment,non-pay,934.94,Demo posting Equipment,DEMO-INV-38786
LW-00000088,2025-09-02,2025-09,CC-DEN-115,6100,Agency nursing,pay,376.35,Demo posting Agency nursing,DEMO-INV-29485
LW-00000089,2025-09-16,2025-09,CC-URG-401,7100,Medical supplies,non-pay,235.23,Demo posting Medical supplies,DEMO-INV-42600
LW-00000090,2025-09-27,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,441.85,Demo posting Medical supplies,DEMO-INV-11094
LW-00000091,2025-09-04,2025-09,CC-URG-401,7200,Equipment,non-pay,919.34,Demo posting Equipment,DEMO-INV-97654
LW-00000092,2025-09-23,2025-09,CC-URG-401,7100,Medical supplies,non-pay,416.84,Demo posting Medical supplies,DEMO-INV-66239
LW-00000093,2025-09-24,2025-09,CC-MH-210,7100,Medical supplies,non-pay,209.7,Demo posting Medical supplies,DEMO-INV-70652
LW-00000094,2025-09-04,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,342.18,Demo posting Medical supplies,DEMO-INV-71121
LW-00000095,2025-09-28,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,1902.87,Demo posting Medical supplies,DEMO-INV-65668
LW-00000096,2025-09-26,2025-09,CC-DEN-115,7200,Equipment,non-pay,1109.76,Demo posting Equipment,DEMO-INV-73191
LW-00000097,2025-09-19,2025-09,CC-CORP-900,6100,Agency nursing,pay,584.95,Demo posting Agency nursing,DEMO-INV-12553
LW-00000098,2025-09-21,2025-09,CC-URG-401,6100,Agency nursing,pay,358.07,Demo posting Agency nursing,DEMO-INV-74212
LW-00000099,2025-09-14,2025-09,CC-MH-210,7200,Equipment,non-pay,137.21,Demo posting Equipment,DEMO-INV-51346
LW-00000100,2025-09-28,2025-09,CC-PAL-330,6100,Agency nursing,pay,795.78,Demo posting Agency nursing,DEMO-INV-23326
LW-00000101,2025-09-25,2025-09,CC-PAL-330,7200,Equipment,non-pay,450.68,Demo posting Equipment,DEMO-INV-61638
LW-00000102,2025-09-21,2025-09,CC-PAL-330,6200,Bank staff,pay,1354.15,Demo posting Bank staff,DEMO-INV-42124
LW-00000103,2025-09-02,2025-09,CC-DEN-115,6100,Agency nursing,pay,614.7,Demo posting Agency nursing,DEMO-INV-70531
LW-00000104,2025-09-11,2025-09,CC-URG-401,7100,Medical supplies,non-pay,1495.87,Demo posting Medical supplies,DEMO-INV-31884
LW-00000105,2025-09-02,2025-09,CC-URG-401,7100,Medical supplies,non-pay,1461.96,Demo posting Medical supplies,DEMO-INV-31890
LW-00000106,2025-09-01,2025-09,CC-CORP-900,6200,Bank staff,pay,1780.28,Demo posting Bank staff,DEMO-INV-81679
LW-00000107,2025-09-11,2025-09,CC-CORP-900,6100,Agency nursing,pay,1000.42,Demo posting Agency nursing,DEMO-INV-45892
LW-00000108,2025-09-04,2025-09,CC-DEN-115,6200,Bank staff,pay,1170.41,Demo posting Bank staff,DEMO-INV-83686
LW-00000109,2025-09-05,2025-09,CC-URG-401,7200,Equipment,non-pay,652.21,Demo posting Equipment,DEMO-INV-82261
LW-00000110,2025-09-14,2025-09,CC-URG-401,7100,Medical supplies,non-pay,1077.05,Demo posting Medical supplies,DEMO-INV-53238
LW-00000111,2025-09-16,2025-09,CC-MH-210,6200,Bank staff,pay,1876.31,Demo posting Bank staff,DEMO-INV-36594
LW-00000112,2025-09-15,2025-09,CC-CORP-900,6200,Bank staff,pay,1935.52,Demo posting Bank staff,DEMO-INV-63708
LW-00000113,2025-09-08,2025-09,CC-CORP-900,7200,Equipment,non-pay,406.85,Demo posting Equipment,DEMO-INV-59514
LW-00000114,2025-09-06,2025-09,CC-MH-210,6200,Bank staff,pay,2267.62,Demo posting Bank staff,DEMO-INV-12769
LW-00000115,2025-09-05,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,2021.5,Demo posting Medical supplies,DEMO-INV-35238
LW-00000116,2025-09-06,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,2413.9,Demo posting Medical supplies,DEMO-INV-27367
LW-00000117,2025-09-06,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1100.61,Demo posting Medical supplies,DEMO-INV-89598
LW-00000118,2025-09-10,2025-09,CC-PAL-330,6200,Bank staff,pay,1215.05,Demo posting Bank staff,DEMO-INV-68782
LW-00000119,2025-09-06,2025-09,CC-MH-210,6200,Bank staff,pay,873.38,Demo posting Bank staff,DEMO-INV-78969
LW-00000120,2025-09-14,2025-09,CC-URG-401,7100,Medical supplies,non-pay,997.34,Demo posting Medical supplies,DEMO-INV-29136
LW-00000121,2025-09-07,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,648.78,Demo posting Medical supplies,DEMO-INV-11904
LW-00000122,2025-09-01,2025-09,CC-URG-401,7200,Equipment,non-pay,67.75,Demo posting Equipment,DEMO-INV-55410
LW-00000123,2025-09-25,2025-09,CC-URG-401,7200,Equipment,non-pay,1576.52,Demo posting Equipment,DEMO-INV-59339
LW-00000124,2025-09-15,2025-09,CC-CORP-900,7200,Equipment,non-pay,1806.81,Demo posting Equipment,DEMO-INV-26167
LW-00000125,2025-09-22,2025-09,CC-URG-401,7100,Medical supplies,non-pay,1282.7,Demo posting Medical supplies,DEMO-INV-79821
LW-00000126,2025-09-13,2025-09,CC-MH-210,7200,Equipment,non-pay,1647.09,Demo posting Equipment,DEMO-INV-20270
LW-00000127,2025-09-26,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1309.76,Demo posting Medical supplies,DEMO-INV-10580
LW-00000128,2025-09-14,2025-09,CC-CORP-900,7200,Equipment,non-pay,2061.57,Demo posting Equipment,DEMO-INV-91194
LW-00000129,2025-09-21,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1595.4,Demo posting Medical supplies,DEMO-INV-78596
LW-00000130,2025-09-23,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,503.05,Demo posting Medical supplies,DEMO-INV-34082
LW-00000131,2025-09-05,2025-09,CC-URG-401,6200,Bank staff,pay,57.06,Demo posting Bank staff,DEMO-INV-48510
LW-00000132,2025-09-08,2025-09,CC-URG-401,6200,Bank staff,pay,1368.95,Demo posting Bank staff,DEMO-INV-65009
LW-00000133,2025-09-30,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1530.47,Demo posting Medical supplies,DEMO-INV-10614
LW-00000134,2025-09-13,2025-09,CC-MH-210,6100,Agency nursing,pay,1638.21,Demo posting Agency nursing,DEMO-INV-25493
LW-00000135,2025-09-17,2025-09,CC-MH-210,7100,Medical supplies,non-pay,2438.16,Demo posting Medical supplies,DEMO-INV-50417
LW-00000136,2025-09-07,2025-09,CC-DEN-115,7200,Equipment,non-pay,690.69,Demo posting Equipment,DEMO-INV-15125
LW-00000137,2025-09-13,2025-09,CC-MH-210,6100,Agency nursing,pay,573.13,Demo posting Agency nursing,DEMO-INV-73349
LW-00000138,2025-09-21,2025-09,CC-URG-401,6200,Bank staff,pay,841.24,Demo posting Bank staff,DEMO-INV-95640
LW-00000139,2025-09-14,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1260.38,Demo posting Medical supplies,DEMO-INV-21515
LW-00000140,2025-09-08,2025-09,CC-PAL-330,6100,Agency nursing,pay,997.74,Demo posting Agency nursing,DEMO-INV-11988
LW-00000141,2025-09-16,2025-09,CC-MH-210,7200,Equipment,non-pay,2238.03,Demo posting Equipment,DEMO-INV-98520
LW-00000142,2025-09-25,2025-09,CC-URG-401,7200,Equipment,non-pay,1303.96,Demo posting Equipment,DEMO-INV-95765
LW-00000143,2025-09-18,2025-09,CC-MH-210,6100,Agency nursing,pay,310.75,Demo posting Agency nursing,DEMO-INV-22946
LW-00000144,2025-09-21,2025-09,CC-URG-401,6100,Agency nursing,pay,1676.3,Demo posting Agency nursing,DEMO-INV-82803
LW-00000145,2025-09-16,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,627.49,Demo posting Medical supplies,DEMO-INV-98530
LW-00000146,2025-09-17,2025-09,CC-URG-401,6200,Bank staff,pay,176.78,Demo posting Bank staff,DEMO-INV-57452
LW-00000147,2025-09-02,2025-09,CC-DEN-115,6100,Agency nursing,pay,1915.28,Demo posting Agency nursing,DEMO-INV-58387
LW-00000148,2025-09-13,2025-09,CC-MH-210,6100,Agency nursing,pay,2495.73,Demo posting Agency nursing,DEMO-INV-47818
LW-00000149,2025-09-03,2025-09,CC-URG-401,6100,Agency nursing,pay,1298.34,Demo posting Agency nursing,DEMO-INV-91176
LW-00000150,2025-09-05,2025-09,CC-URG-401,6100,Agency nursing,pay,1125.21,Demo posting Agency nursing,DEMO-INV-22519
LW-00000151,2025-09-29,2025-09,CC-MH-210,7100,Medical supplies,non-pay,1587.75,Demo posting Medical supplies,DEMO-INV-19617
LW-00000152,2025-09-16,2025-09,CC-CORP-900,7200,Equipment,non-pay,805.29,Demo posting Equipment,DEMO-INV-61293
LW-00000153,2025-09-28,2025-09,CC-URG-401,7200,Equipment,non-pay,2271.94,Demo posting Equipment,DEMO-INV-60490
LW-00000154,2025-09-07,2025-09,CC-CORP-900,6200,Bank staff,pay,2063.16,Demo posting Bank staff,DEMO-INV-31524
LW-00000155,2025-09-06,2025-09,CC-DEN-115,6200,Bank staff,pay,1615.66,Demo posting Bank staff,DEMO-INV-22171
LW-00000156,2025-09-22,2025-09,CC-PAL-330,6100,Agency nursing,pay,1968.59,Demo posting Agency nursing,DEMO-INV-36778
LW-00000157,2025-09-21,2025-09,CC-URG-401,7100,Medical supplies,non-pay,345.86,Demo posting Medical supplies,DEMO-INV-78651
LW-00000158,2025-09-26,2025-09,CC-DEN-115,7200,Equipment,non-pay,1040.55,Demo posting Equipment,DEMO-INV-73385
LW-00000159,2025-09-08,2025-09,CC-CORP-900,7200,Equipment,non-pay,99.9,Demo posting Equipment,DEMO-INV-23159
LW-00000160,2025-09-24,2025-09,CC-PAL-330,7200,Equipment,non-pay,257.97,Demo posting Equipment,DEMO-INV-20246
LW-00000161,2025-09-19,2025-09,CC-DEN-115,7200,Equipment,non-pay,1414.41,Demo posting Equipment,DEMO-INV-77517
LW-00000162,2025-09-17,2025-09,CC-CORP-900,7200,Equipment,non-pay,346.19,Demo posting Equipment,DEMO-INV-31191
LW-00000163,2025-09-13,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1857.03,Demo posting Medical supplies,DEMO-INV-56560
LW-00000164,2025-09-11,2025-09,CC-DEN-115,7200,Equipment,non-pay,558.75,Demo posting Equipment,DEMO-INV-75247
LW-00000165,2025-09-08,2025-09,CC-MH-210,7100,Medical supplies,non-pay,605.15,Demo posting Medical supplies,DEMO-INV-96237
LW-00000166,2025-09-06,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,268.29,Demo posting Medical supplies,DEMO-INV-44807
LW-00000167,2025-09-05,2025-09,CC-URG-401,7200,Equipment,non-pay,1767.69,Demo posting Equipment,DEMO-INV-68426
LW-00000168,2025-09-21,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,2136.06,Demo posting Medical supplies,DEMO-INV-77623
LW-00000169,2025-09-16,2025-09,CC-MH-210,6100,Agency nursing,pay,786.11,Demo posting Agency nursing,DEMO-INV-94601
LW-00000170,2025-09-22,2025-09,CC-CORP-900,7200,Equipment,non-pay,2360.95,Demo posting Equipment,DEMO-INV-69548
LW-00000171,2025-09-17,2025-09,CC-CORP-900,6200,Bank staff,pay,2072.85,Demo posting Bank staff,DEMO-INV-74169
LW-00000172,2025-09-01,2025-09,CC-MH-210,7100,Medical supplies,non-pay,1559.63,Demo posting Medical supplies,DEMO-INV-93498
LW-00000173,2025-09-21,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,622.37,Demo posting Medical supplies,DEMO-INV-91153
LW-00000174,2025-09-27,2025-09,CC-MH-210,7200,Equipment,non-pay,1009.68,Demo posting Equipment,DEMO-INV-14653
LW-00000175,2025-09-10,2025-09,CC-MH-210,6200,Bank staff,pay,1588.25,Demo posting Bank staff,DEMO-INV-13298
LW-00000176,2025-09-12,2025-09,CC-CORP-900,6200,Bank staff,pay,509.99,Demo posting Bank staff,DEMO-INV-14669
LW-00000177,2025-09-12,2025-09,CC-DEN-115,6200,Bank staff,pay,1686.48,Demo posting Bank staff,DEMO-INV-17892
LW-00000178,2025-09-17,2025-09,CC-URG-401,7100,Medical supplies,non-pay,922.4,Demo posting Medical supplies,DEMO-INV-34949
LW-00000179,2025-09-30,2025-09,CC-DEN-115,6200,Bank staff,pay,456.49,Demo posting Bank staff,DEMO-INV-34252
LW-00000180,2025-09-21,2025-09,CC-CORP-900,6200,Bank staff,pay,2166.3,Demo posting Bank staff,DEMO-INV-30449
LW-00000181,2025-09-28,2025-09,CC-CORP-900,6100,Agency nursing,pay,635.85,Demo posting Agency nursing,DEMO-INV-37143
LW-00000182,2025-09-18,2025-09,CC-MH-210,7100,Medical supplies,non-pay,98.99,Demo posting Medical supplies,DEMO-INV-40538
LW-00000183,2025-09-04,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,2054.09,Demo posting Medical supplies,DEMO-INV-93750
LW-00000184,2025-09-02,2025-09,CC-MH-210,6100,Agency nursing,pay,578.91,Demo posting Agency nursing,DEMO-INV-60941
LW-00000185,2025-09-18,2025-09,CC-MH-210,6200,Bank staff,pay,220.3,Demo posting Bank staff,DEMO-INV-69614
LW-00000186,2025-09-11,2025-09,CC-DEN-115,7200,Equipment,non-pay,1450.7,Demo posting Equipment,DEMO-INV-82899
LW-00000187,2025-09-15,2025-09,CC-URG-401,7200,Equipment,non-pay,1548.29,Demo posting Equipment,DEMO-INV-23926
LW-00000188,2025-09-06,2025-09,CC-MH-210,7100,Medical supplies,non-pay,573.84,Demo posting Medical supplies,DEMO-INV-42573
LW-00000189,2025-09-26,2025-09,CC-MH-210,6100,Agency nursing,pay,1233.8,Demo posting Agency nursing,DEMO-INV-36886
LW-00000190,2025-09-21,2025-09,CC-MH-210,6100,Agency nursing,pay,1274.49,Demo posting Agency nursing,DEMO-INV-86466
LW-00000191,2025-09-01,2025-09,CC-URG-401,6100,Agency nursing,pay,1510.25,Demo posting Agency nursing,DEMO-INV-44795
LW-00000192,2025-09-20,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,1601.46,Demo posting Medical supplies,DEMO-INV-14790
LW-00000193,2025-09-29,2025-09,CC-MH-210,6100,Agency nursing,pay,50.99,Demo posting Agency nursing,DEMO-INV-33480
LW-00000194,2025-09-12,2025-09,CC-MH-210,7200,Equipment,non-pay,1921.91,Demo posting Equipment,DEMO-INV-54201
LW-00000195,2025-09-10,2025-09,CC-DEN-115,7200,Equipment,non-pay,950.36,Demo posting Equipment,DEMO-INV-33252
LW-00000196,2025-09-14,2025-09,CC-DEN-115,6200,Bank staff,pay,975.66,Demo posting Bank staff,DEMO-INV-83061
LW-00000197,2025-09-14,2025-09,CC-CORP-900,6100,Agency nursing,pay,2011.72,Demo posting Agency nursing,DEMO-INV-49427
LW-00000198,2025-09-17,2025-09,CC-PAL-330,6200,Bank staff,pay,1301.82,Demo posting Bank staff,DEMO-INV-34896
LW-00000199,2025-09-19,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,994.45,Demo posting Medical supplies,DEMO-INV-83396
LW-00000200,2025-09-12,2025-09,CC-URG-401,7200,Equipment,non-pay,74.72,Demo posting Equipment,DEMO-INV-51350
LW-00000201,2025-09-21,2025-09,CC-URG-401,6100,Agency nursing,pay,2217.48,Demo posting Agency nursing,DEMO-INV-20233
LW-00000202,2025-09-16,2025-09,CC-CORP-900,6200,Bank staff,pay,2122.56,Demo posting Bank staff,DEMO-INV-96159
LW-00000203,2025-09-08,2025-09,CC-DEN-115,6100,Agency nursing,pay,1961.4,Demo posting Agency nursing,DEMO-INV-35565
LW-00000204,2025-09-12,2025-09,CC-URG-401,7100,Medical supplies,non-pay,2017.57,Demo posting Medical supplies,DEMO-INV-60550
