ShiftId,SyntheticStaffId,ShiftDate,ShiftType,TeamCode,StartTime,EndTime,IsBankShift,UrgentCareFlag
RF-SH-00000059,DRH-STF-0012,2025-09-13,worked,IUCS-HUB,08:00,18:00,N,Y
RF-SH-00000060,DRH-STF-0123,2025-09-15,worked,MH-CRHT,09:00,18:00,N,N
RF-SH-00000061,DRH-STF-0041,2025-09-25,planned,IUCS-HUB,09:00,21:00,Y,Y
RF-SH-00000062,DRH-STF-0096,2025-09-09,worked,PAL-HOME,08:00,19:00,N,N
RF-SH-00000063,DRH-STF-0011,2025-09-17,worked,PAL-HOME,08:00,17:00,Y,N
RF-SH-00000064,DRH-STF-0015,2025-09-11,worked,MH-ACCESS,07:00,19:00,N,N
RF-SH-00000065,DRH-STF-0114,2025-09-17,worked,IUCS-CTR,07:00,20:00,N,Y
RF-SH-00000066,DRH-STF-0050,2025-09-29,worked,PAL-HOME,07:00,18:00,N,N
RF-SH-00000067,DRH-STF-0060,2025-09-10,planned,IUCS-CTR,07:00,21:00,N,Y
RF-SH-00000068,DRH-STF-0020,2025-09-06,planned,IUCS-CTR,09:00,17:00,N,Y
RF-SH-00000069,DRH-STF-0094,2025-09-15,worked,IUCS-HUB,08:00,19:00,N,Y
RF-SH-00000070,DRH-STF-0141,2025-09-20,planned,PAL-HOME,08:00,17:00,N,N
RF-SH-00000071,DRH-STF-0117,2025-09-27,planned,IUCS-HUB,08:00,21:00,Y,Y
RF-SH-00000072,DRH-STF-0011,2025-09-17,planned,PAL-HOME,07:00,20:00,Y,N
RF-SH-00000073,DRH-STF-0119,2025-09-01,planned,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000074,DRH-STF-0049,2025-09-24,planned,PAL-HOME,09:00,20:00,N,N
RF-SH-00000075,DRH-STF-0039,2025-09-09,worked,MH-CRHT,07:00,21:00,N,N
RF-SH-00000076,DRH-STF-0052,2025-09-17,planned,IUCS-CTR,09:00,19:00,N,Y
RF-SH-00000077,DRH-STF-0040,2025-09-18,planned,IUCS-CTR,09:00,18:00,N,Y
RF-SH-00000078,DRH-STF-0016,2025-09-17,planned,IUCS-HUB,08:00,19:00,N,Y
RF-SH-00000079,DRH-STF-0020,2025-09-04,planned,IUCS-CTR,08:00,17:00,N,Y
RF-SH-00000080,DRH-STF-0135,2025-09-18,worked,PAL-HOME,08:00,19:00,N,N
RF-SH-00000081,DRH-STF-0009,2025-09-02,planned,MH-CRHT,08:00,21:00,N,N
RF-SH-00000082,DRH-STF-0076,2025-09-02,planned,IUCS-HUB,08:00,16:00,N,Y
RF-SH-00000083,DRH-STF-0120,2025-09-24,worked,MH-CRHT,09:00,18:00,N,N
RF-SH-00000084,DRH-STF-0061,2025-09-07,planned,MH-CRHT,09:00,20:00,N,N
RF-SH-00000085,DRH-STF-0126,2025-09-28,worked,IUCS-CTR,07:00,17:00,Y,Y
RF-SH-00000086,DRH-STF-0132,2025-09-22,planned,MH-ACCESS,08:00,18:00,N,N
RF-SH-00000087,DRH-STF-0018,2025-09-04,planned,PAL-HOME,08:00,17:00,N,N
RF-SH-00000088,DRH-STF-0072,2025-09-18,worked,PAL-HOME,09:00,19:00,Y,N
RF-SH-00000089,DRH-STF-0109,2025-09-10,planned,MH-ACCESS,08:00,21:00,N,N
RF-SH-00000090,DRH-STF-0071,2025-09-27,planned,PAL-HOME,07:00,19:00,N,N
RF-SH-00000091,DRH-STF-0115,2025-09-03,planned,MH-ACCESS,07:00,19:00,N,N
RF-SH-00000092,DRH-STF-0124,2025-09-04,planned,IUCS-HUB,07:00,17:00,Y,Y
RF-SH-00000093,DRH-STF-0142,2025-09-11,planned,MH-ACCESS,08:00,16:00,Y,N
RF-SH-00000094,DRH-STF-0102,2025-09-09,worked,IUCS-HUB,07:00,17:00,N,Y
RF-SH-00000095,DRH-STF-0112,2025-09-15,planned,IUCS-HUB,08:00,16:00,N,Y
RF-SH-00000096,DRH-STF-0124,2025-09-15,planned,IUCS-HUB,08:00,16:00,N,Y
RF-SH-00000097,DRH-STF-0010,2025-09-23,worked,IUCS-HUB,07:00,16:00,Y,Y
RF-SH-00000098,DRH-STF-0101,2025-09-21,worked,MH-CRHT,09:00,19:00,N,N
RF-SH-00000099,DRH-STF-0089,2025-09-16,planned,MH-CRHT,09:00,19:00,N,N
RF-SH-00000100,DRH-STF-0091,2025-09-14,planned,IUCS-HUB,08:00,18:00,N,Y
RF-SH-00000101,DRH-STF-0130,2025-09-05,planned,IUCS-HUB,08:00,16:00,N,Y
RF-SH-00000102,DRH-STF-0050,2025-09-29,worked,PAL-HOME,08:00,17:00,N,N
RF-SH-00000103,DRH-STF-0017,2025-09-16,worked,DENT-UC,07:00,19:00,Y,N
RF-SH-00000104,DRH-STF-0123,2025-09-28,worked,MH-CRHT,07:00,17:00,N,N
RF-SH-00000105,DRH-STF-0025,2025-09-28,worked,DENT-UC,08:00,21:00,N,N
RF-SH-00000106,DRH-STF-0061,2025-09-06,planned,MH-CRHT,08:00,17:00,N,N
RF-SH-00000107,DRH-STF-0103,2025-09-14,planned,MH-CRHT,09:00,19:00,N,N
RF-SH-00000108,DRH-STF-0138,2025-09-09,worked,DENT-UC,09:00,21:00,N,N
RF-SH-00000109,DRH-STF-0056,2025-09-17,worked,PAL-HOME,07:00,21:00,Y,N
RF-SH-00000110,DRH-STF-0132,2025-09-25,worked,MH-ACCESS,07:00,18:00,N,N
RF-SH-00000111,DRH-STF-0057,2025-09-17,planned,MH-ACCESS,08:00,19:00,N,N
RF-SH-00000112,DRH-STF-0011,2025-09-18,planned,PAL-HOME,07:00,20:00,N,N
RF-SH-00000113,DRH-STF-0035,2025-09-02,worked,IUCS-HUB,07:00,16:00,N,Y
RF-SH-00000114,DRH-STF-0132,2025-09-20,worked,MH-ACCESS,07:00,21:00,N,N
RF-SH-00000115,DRH-STF-0021,2025-09-07,planned,IUCS-CTR,07:00,21:00,Y,Y
RF-SH-00000116,DRH-STF-0089,2025-09-17,worked,MH-CRHT,08:00,21:00,N,N
RF-SH-00000117,DRH-STF-0081,2025-09-12,worked,PAL-HOME,07:00,20:00,Y,N
RF-SH-00000118,DRH-STF-0016,2025-09-07,planned,IUCS-HUB,09:00,16:00,N,Y
RF-SH-00000119,DRH-STF-0010,2025-09-17,worked,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000120,DRH-STF-0140,2025-09-20,planned,IUCS-CTR,09:00,20:00,N,Y
RF-SH-00000121,DRH-STF-0100,2025-09-01,worked,MH-ACCESS,08:00,21:00,N,N
RF-SH-00000122,DRH-STF-0032,2025-09-12,worked,IUCS-HUB,09:00,16:00,N,Y
RF-SH-00000123,DRH-STF-0080,2025-09-29,worked,MH-CRHT,07:00,20:00,Y,N
RF-SH-00000124,DRH-STF-0060,2025-09-22,planned,IUCS-CTR,07:00,16:00,N,Y
RF-SH-00000125,DRH-STF-0131,2025-09-15,worked,MH-ACCESS,07:00,21:00,N,N
RF-SH-00000126,DRH-STF-0019,2025-09-09,planned,MH-CRHT,08:00,17:00,N,N
RF-SH-00000127,DRH-STF-0113,2025-09-10,planned,MH-ACCESS,08:00,16:00,N,N
RF-SH-00000128,DRH-STF-0081,2025-09-12,worked,PAL-HOME,08:00,19:00,Y,N
RF-SH-00000129,DRH-STF-0028,2025-09-08,worked,DENT-UC,09:00,19:00,Y,N
RF-SH-00000130,DRH-STF-0018,2025-09-14,planned,PAL-HOME,07:00,20:00,N,N
RF-SH-00000131,DRH-STF-0012,2025-09-06,worked,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000132,DRH-STF-0133,2025-09-13,planned,PAL-HOME,09:00,16:00,N,N
RF-SH-00000133,DRH-STF-0097,2025-09-07,planned,MH-ACCESS,09:00,20:00,N,N
RF-SH-00000134,DRH-STF-0106,2025-09-14,planned,PAL-HOME,07:00,16:00,N,N
RF-SH-00000135,DRH-STF-0082,2025-09-27,planned,MH-ACCESS,07:00,18:00,N,N
RF-SH-00000136,DRH-STF-0006,2025-09-04,worked,PAL-HOME,09:00,17:00,N,N
RF-SH-00000137,DRH-STF-0113,2025-09-08,planned,MH-ACCESS,09:00,21:00,N,N
RF-SH-00000138,DRH-STF-0045,2025-09-30,planned,DENT-UC,09:00,17:00,N,N
RF-SH-00000139,DRH-STF-0009,2025-09-15,worked,MH-CRHT,08:00,20:00,N,N
RF-SH-00000140,DRH-STF-0004,2025-09-23,planned,IUCS-HUB,08:00,17:00,N,Y
RF-SH-00000141,DRH-STF-0080,2025-09-30,planned,MH-CRHT,09:00,18:00,N,N
RF-SH-00000142,DRH-STF-0072,2025-09-15,planned,PAL-HOME,08:00,20:00,N,N
RF-SH-00000143,DRH-STF-0126,2025-09-18,planned,IUCS-CTR,09:00,20:00,N,Y
RF-SH-00000144,DRH-STF-0115,2025-09-15,planned,MH-ACCESS,07:00,16:00,N,N
RF-SH-00000145,DRH-STF-0110,2025-09-30,worked,MH-CRHT,09:00,21:00,N,N
RF-SH-00000146,DRH-STF-0112,2025-09-08,worked,IUCS-HUB,07:00,21:00,N,Y
RF-SH-00000147,DRH-STF-0087,2025-09-23,worked,PAL-HOME,07:00,18:00,N,N
RF-SH-00000148,DRH-STF-0108,2025-09-03,worked,MH-CRHT,07:00,21:00,N,N
RF-SH-00000149,DRH-STF-0126,2025-09-15,worked,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000150,DRH-STF-0100,2025-09-01,worked,MH-ACCESS,09:00,20:00,N,N
RF-SH-00000151,DRH-STF-0070,2025-09-12,worked,MH-ACCESS,09:00,19:00,N,N
RF-SH-00000152,DRH-STF-0105,2025-09-28,worked,MH-ACCESS,09:00,21:00,N,N
RF-SH-00000153,DRH-STF-0077,2025-09-23,worked,MH-ACCESS,09:00,18:00,N,N
RF-SH-00000154,DRH-STF-0140,2025-09-04,worked,IUCS-CTR,07:00,20:00,N,Y
RF-SH-00000155,DRH-STF-0104,2025-09-23,planned,IUCS-CTR,08:00,16:00,N,Y
RF-SH-00000156,DRH-STF-0136,2025-09-16,worked,MH-ACCESS,08:00,18:00,N,N
RF-SH-00000157,DRH-STF-0117,2025-09-28,planned,IUCS-HUB,09:00,18:00,N,Y
RF-SH-00000158,DRH-STF-0085,2025-09-28,planned,MH-ACCESS,09:00,21:00,N,N
RF-SH-00000159,DRH-STF-0071,2025-09-14,worked,PAL-HOME,08:00,20:00,N,N
RF-SH-00000160,DRH-STF-0032,2025-09-21,planned,IUCS-HUB,08:00,18:00,N,Y
RF-SH-00000161,DRH-STF-0068,2025-09-24,worked,MH-ACCESS,08:00,21:00,N,N
RF-SH-00000162,DRH-STF-0095,2025-09-16,worked,PAL-HOME,08:00,21:00,Y,N
RF-SH-00000163,DRH-STF-0009,2025-09-13,worked,MH-CRHT,09:00,21:00,N,N
RF-SH-00000164,DRH-STF-0110,2025-09-21,planned,MH-CRHT,09:00,20:00,N,N
RF-SH-00000165,DRH-STF-0140,2025-09-19,planned,IUCS-CTR,09:00,19:00,N,Y
RF-SH-00000166,DRH-STF-0098,2025-09-01,worked,IUCS-HUB,09:00,16:00,N,Y
RF-SH-00000167,DRH-STF-0128,2025-09-26,planned,IUCS-HUB,07:00,16:00,N,Y
RF-SH-00000168,DRH-STF-0096,2025-09-06,worked,PAL-HOME,07:00,17:00,N,N
RF-SH-00000169,DRH-STF-0013,2025-09-17,worked,MH-CRHT,09:00,19:00,N,N
RF-SH-00000170,DRH-STF-0052,2025-09-26,planned,IUCS-CTR,09:00,19:00,N,Y
RF-SH-00000171,DRH-STF-0013,2025-09-25,worked,MH-CRHT,08:00,19:00,N,N
RF-SH-00000172,DRH-STF-0015,2025-09-17,worked,MH-ACCESS,09:00,16:00,N,N
RF-SH-00000173,DRH-STF-0121,2025-09-05,worked,DENT-UC,07:00,16:00,N,N
RF-SH-00000174,DRH-STF-0010,2025-09-01,worked,IUCS-HUB,07:00,21:00,N,Y
RF-SH-00000175,DRH-STF-0074,2025-09-02,planned,MH-ACCESS,09:00,18:00,N,N
RF-SH-00000176,DRH-STF-0017,2025-09-21,worked,DENT-UC,09:00,18:00,N,N
RF-SH-00000177,DRH-STF-0011,2025-09-10,planned,PAL-HOME,08:00,16:00,N,N
RF-SH-00000178,DRH-STF-0078,2025-09-13,planned,IUCS-CTR,08:00,20:00,N,Y
RF-SH-00000179,DRH-STF-0042,2025-09-26,worked,DENT-UC,09:00,18:00,N,N
RF-SH-00000180,DRH-STF-0103,2025-09-23,planned,MH-CRHT,08:00,16:00,Y,N
RF-SH-00000181,DRH-STF-0131,2025-09-21,worked,MH-ACCESS,08:00,21:00,N,N
RF-SH-00000182,DRH-STF-0082,2025-09-23,planned,MH-ACCESS,07:00,17:00,N,N
RF-SH-00000183,DRH-STF-0101,2025-09-27,planned,MH-CRHT,07:00,18:00,N,N
RF-SH-00000184,DRH-STF-0038,2025-09-29,planned,IUCS-CTR,09:00,21:00,N,Y
RF-SH-00000185,DRH-STF-0139,2025-09-11,worked,MH-CRHT,08:00,21:00,Y,N
RF-SH-00000186,DRH-STF-0051,2025-09-30,worked,PAL-HOME,07:00,21:00,N,N
RF-SH-00000187,DRH-STF-0131,2025-09-05,planned,MH-ACCESS,09:00,16:00,N,N
RF-SH-00000188,DRH-STF-0110,2025-09-30,planned,MH-CRHT,07:00,16:00,N,N
RF-SH-00000189,DRH-STF-0035,2025-09-28,planned,IUCS-HUB,07:00,17:00,N,Y
RF-SH-00000190,DRH-STF-0124,2025-09-02,worked,IUCS-HUB,09:00,16:00,N,Y
RF-SH-00000191,DRH-STF-0050,2025-09-08,worked,PAL-HOME,08:00,19:00,N,N
RF-SH-00000192,DRH-STF-0022,2025-09-07,planned,DENT-UC,08:00,19:00,Y,N
RF-SH-00000193,DRH-STF-0031,2025-09-13,worked,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000194,DRH-STF-0016,2025-09-14,worked,IUCS-HUB,07:00,16:00,N,Y
RF-SH-00000195,DRH-STF-0128,2025-09-20,worked,IUCS-HUB,07:00,19:00,Y,Y
RF-SH-00000196,DRH-STF-0140,2025-09-12,worked,IUCS-CTR,09:00,21:00,N,Y
RF-SH-00000197,DRH-STF-0123,2025-09-02,planned,MH-CRHT,09:00,17:00,N,N
RF-SH-00000198,DRH-STF-0110,2025-09-06,planned,MH-CRHT,07:00,18:00,N,N
RF-SH-00000199,DRH-STF-0079,2025-09-21,worked,DENT-UC,07:00,17:00,N,N
RF-SH-00000200,DRH-STF-0040,2025-09-15,planned,IUCS-CTR,07:00,20:00,N,Y
RF-SH-00000201,DRH-STF-0134,2025-09-25,planned,MH-ACCESS,09:00,16:00,N,N
RF-SH-00000202,DRH-STF-0053,2025-09-22,worked,IUCS-CTR,07:00,19:00,N,Y
RF-SH-00000203,DRH-STF-0007,2025-09-21,worked,DENT-UC,07:00,18:00,N,N
RF-SH-00000204,DRH-STF-0120,2025-09-01,worked,MH-CRHT,09:00,17:00,N,N
RF-SH-00000205,DRH-STF-0064,2025-09-13,planned,MH-ACCESS,07:00,20:00,N,N
RF-SH-00000206,DRH-STF-0012,2025-09-24,planned,IUCS-HUB,09:00,19:00,N,Y
RF-SH-00000207,DRH-STF-0081,2025-09-15,worked,PAL-HOME,07:00,16:00,N,N
RF-SH-00000208,DRH-STF-0133,2025-09-09,planned,PAL-HOME,09:00,19:00,N,N
RF-SH-00000209,DRH-STF-0034,2025-09-03,worked,IUCS-HUB,07:00,19:00,N,Y
RF-SH-00000210,DRH-STF-0086,2025-09-04,planned,MH-ACCESS,08:00,17:00,Y,N
RF-SH-00000211,DRH-STF-0028,2025-09-30,worked,DENT-UC,07:00,17:00,Y,N
RF-SH-00000212,DRH-STF-0036,2025-09-11,worked,IUCS-HUB,09:00,19:00,N,Y
RF-SH-00000213,DRH-STF-0127,2025-09-04,planned,PAL-HOME,07:00,20:00,N,N
RF-SH-00000214,DRH-STF-0048,2025-09-30,worked,MH-CRHT,08:00,20:00,Y,N
RF-SH-00000215,DRH-STF-0082,2025-09-08,worked,MH-ACCESS,07:00,16:00,N,N
RF-SH-00000216,DRH-STF-0045,2025-09-11,worked,DENT-UC,09:00,20:00,N,N
RF-SH-00000217,DRH-STF-0018,2025-09-21,worked,PAL-HOME,07:00,16:00,N,N
RF-SH-00000218,DRH-STF-0076,2025-09-01,worked,IUCS-HUB,08:00,20:00,N,Y
RF-SH-00000219,DRH-STF-0121,2025-09-10,worked,DENT-UC,09:00,21:00,N,N
RF-SH-00000220,DRH-STF-0007,2025-09-01,worked,DENT-UC,08:00,18:00,N,N
RF-SH-00000221,DRH-STF-0140,2025-09-30,worked,IUCS-CTR,09:00,21:00,N,Y
RF-SH-00000222,DRH-STF-0087,2025-09-22,planned,PAL-HOME,09:00,20:00,N,N
RF-SH-00000223,DRH-STF-0019,2025-09-17,planned,MH-CRHT,07:00,20:00,N,N
RF-SH-00000224,DRH-STF-0008,2025-09-06,planned,MH-CRHT,07:00,16:00,Y,N
RF-SH-00000225,DRH-STF-0130,2025-09-23,worked,IUCS-HUB,07:00,17:00,N,Y
RF-SH-00000226,DRH-STF-0078,2025-09-16,planned,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000227,DRH-STF-0080,2025-09-03,planned,MH-CRHT,07:00,17:00,N,N
RF-SH-00000228,DRH-STF-0057,2025-09-28,planned,MH-ACCESS,09:00,21:00,N,N
RF-SH-00000229,DRH-STF-0098,2025-09-14,worked,IUCS-HUB,09:00,16:00,N,Y
RF-SH-00000230,DRH-STF-0048,2025-09-08,worked,MH-CRHT,08:00,21:00,N,N
RF-SH-00000231,DRH-STF-0061,2025-09-03,worked,MH-CRHT,07:00,18:00,N,N
RF-SH-00000232,DRH-STF-0089,2025-09-20,worked,MH-CRHT,08:00,19:00,N,N
RF-SH-00000233,DRH-STF-0014,2025-09-12,worked,IUCS-CTR,09:00,19:00,N,Y
RF-SH-00000234,DRH-STF-0134,2025-09-25,planned,MH-ACCESS,09:00,19:00,N,N
RF-SH-00000235,DRH-STF-0129,2025-09-05,planned,IUCS-HUB,09:00,18:00,N,Y
RF-SH-00000236,DRH-STF-0025,2025-09-25,planned,DENT-UC,09:00,19:00,N,N
RF-SH-00000237,DRH-STF-0058,2025-09-13,worked,PAL-HOME,07:00,16:00,N,N
RF-SH-00000238,DRH-STF-0038,2025-09-12,worked,IUCS-CTR,09:00,20:00,N,Y
RF-SH-00000239,DRH-STF-0013,2025-09-11,planned,MH-CRHT,07:00,19:00,N,N
RF-SH-00000240,DRH-STF-0123,2025-09-05,worked,MH-CRHT,07:00,17:00,N,N
RF-SH-00000241,DRH-STF-0140,2025-09-23,planned,IUCS-CTR,09:00,21:00,N,Y
RF-SH-00000242,DRH-STF-0016,2025-09-19,planned,IUCS-HUB,09:00,19:00,N,Y
RF-SH-00000243,DRH-STF-0015,2025-09-08,planned,MH-ACCESS,09:00,16:00,Y,N
RF-SH-00000244,DRH-STF-0055,2025-09-20,worked,PAL-HOME,09:00,16:00,N,N
RF-SH-00000245,DRH-STF-0055,2025-09-02,worked,PAL-HOME,09:00,21:00,N,N
RF-SH-00000246,DRH-STF-0121,2025-09-04,worked,DENT-UC,07:00,17:00,N,N
RF-SH-00000247,DRH-STF-0076,2025-09-19,planned,IUCS-HUB,07:00,21:00,N,Y
RF-SH-00000248,DRH-STF-0052,2025-09-04,planned,IUCS-CTR,08:00,18:00,Y,Y
RF-SH-00000249,DRH-STF-0057,2025-09-03,planned,MH-ACCESS,09:00,18:00,N,N
RF-SH-00000250,DRH-STF-0099,2025-09-02,planned,IUCS-CTR,08:00,16:00,N,Y
RF-SH-00000251,DRH-STF-0056,2025-09-13,planned,PAL-HOME,09:00,16:00,N,N
RF-SH-00000252,DRH-STF-0051,2025-09-07,worked,PAL-HOME,07:00,21:00,N,N
RF-SH-00000253,DRH-STF-0139,2025-09-02,worked,MH-CRHT,09:00,19:00,N,N
RF-SH-00000254,DRH-STF-0112,2025-09-26,planned,IUCS-HUB,07:00,18:00,N,Y
RF-SH-00000255,DRH-STF-0045,2025-09-09,worked,DENT-UC,09:00,17:00,N,N
RF-SH-00000256,DRH-STF-0011,2025-09-23,worked,PAL-HOME,09:00,19:00,Y,N
RF-SH-00000257,DRH-STF-0102,2025-09-14,worked,IUCS-HUB,09:00,17:00,N,Y
RF-SH-00000258,DRH-STF-0016,2025-09-27,planned,IUCS-HUB,08:00,21:00,N,Y
RF-SH-00000259,DRH-STF-0002,2025-09-14,worked,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000260,DRH-STF-0123,2025-09-10,planned,MH-CRHT,07:00,21:00,N,N
RF-SH-00000261,DRH-STF-0054,2025-09-04,worked,MH-CRHT,07:00,21:00,N,N
RF-SH-00000262,DRH-STF-0009,2025-09-04,worked,MH-CRHT,07:00,19:00,N,N
RF-SH-00000263,DRH-STF-0129,2025-09-22,planned,IUCS-HUB,08:00,18:00,N,Y
RF-SH-00000264,DRH-STF-0105,2025-09-23,worked,MH-ACCESS,09:00,18:00,N,N
RF-SH-00000265,DRH-STF-0031,2025-09-03,worked,IUCS-CTR,08:00,18:00,N,Y
RF-SH-00000266,DRH-STF-0037,2025-09-21,planned,MH-CRHT,08:00,16:00,Y,N
RF-SH-00000267,DRH-STF-0110,2025-09-25,planned,MH-CRHT,09:00,20:00,N,N
RF-SH-00000268,DRH-STF-0107,2025-09-09,worked,MH-CRHT,07:00,17:00,N,N
RF-SH-00000269,DRH-STF-0051,2025-09-15,worked,PAL-HOME,09:00,20:00,N,N
RF-SH-00000270,DRH-STF-0052,2025-09-08,worked,IUCS-CTR,08:00,21:00,N,Y
RF-SH-00000271,DRH-STF-0136,2025-09-21,planned,MH-ACCESS,07:00,20:00,N,N
RF-SH-00000272,DRH-STF-0075,2025-09-11,planned,MH-ACCESS,08:00,19:00,N,N
