"REPORTING_PERIOD_START","REPORTING_PERIOD_END","GROUP_TYPE","ORG_CODE1","ORG_NAME1","ORG_CODE2","ORG_NAME2","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE_SUPPRESSED","_demo_source","_synthetic"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M025","Count_FirstAssessment29to56days","815","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M026","Count_FirstAssessment57to90days","130","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M027","Count_FirstAssessmentOver90days","15","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M028","Count_EndedBeforeAssessment","550","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M029","Count_WaitingForAssessment","2420","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M030","Count_WaitingForAssessmentOver90days","60","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M031","Count_AccessingServices","1375","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M032","Count_AccessingServices28days","410","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M033","Count_AccessingServices29to56days","815","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M034","Count_AccessingServices57to90days","135","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M035","Count_AccessingServicesOver90days","15","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M036","Count_AccessingServices6Weeks","855","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M037","Count_AccessingServices18Weeks","1370","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M038","Count_WaitingForTreatment","2370","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M039","Count_WaitingForTreatment0to2weeks","865","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M040","Count_WaitingForTreatment0to4weeks","1480","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M041","Count_WaitingForTreatment0to6weeks","1960","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M042","Count_WaitingForTreatment0to12weeks","2335","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M043","Count_WaitingForTreatment0to18weeks","2365","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M044","Count_WaitingForTreatmentOver18weeks","5","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M045","Count_WaitingForTreatmentOver90days","30","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M046","Count_FirstToSecondTreatmentOver28days","635","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M047","Count_FirstToSecondTreatmentOver90days","360","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M048","Mean_WaitAccessingServices","37.6","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M049","Median_WaitAccessingServices","38.0","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M050","Mean_WaitFinishedCourseTreatment","26.6","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M051","Median_WaitFinishedCourseTreatment","24.0","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M052","Count_AccessingServices6WeeksFinishedCourseTreatment","780","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M053","Percentage_AccessingServices6WeeksFinishedCourseTreatment","88","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M054","Count_AccessingServices18WeeksFinishedCourseTreatment","880","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M055","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M056","Count_EndedReferrals","1835","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M057","Count_EndedNotSuitable","75","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M058","Count_EndedSignposted","100","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M059","Count_EndedMutualAgreement","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M060","Count_EndedReferredElsewhere","50","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M061","Count_EndedDeclined","590","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M062","Count_EndedDeceasedAssessedOnly","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M063","Count_EndedUnknownAssessedOnly","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M066","Count_EndedCompleted","615","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M069","Count_EndedDeceasedTreated","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M070","Count_EndedUnknownTreated","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M071","Count_EndedInvalid","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M072","Count_EndedNoReasonRecorded","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M073","Count_EndedNotSeen","540","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M074","Count_EndedSeenNotTreated","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M075","Count_EndedTreatedOnce","410","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M076","Count_FinishedCourseTreatment","885","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M077","Percentage_EndedBeforeTreatment","29","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M078","Percentage_EndedTreatedOnce","22","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M079","Percentage_EndedFinishedCourseTreatment","48","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M080","Percentage_EndedOneOrMoreTreatment","71","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M081","Percentage_FinishedCourseTreatmentEndedOneOrMoreTreatment","68","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M082","Count_Appointments","11285","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M083","Count_ApptsCancelledPatient","1310","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M084","Count_ApptsDNA","950","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M085","Count_ApptsCancelledProvider","685","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M086","Count_ApptsAttended","8060","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M087","Count_ApptsAttendedLate","240","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M088","Count_ApptsLateNotSeen","45","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M089","Count_ApptsFinishedCourseTreatment","7315","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M090","Count_GuideSelfHelpBookAppts","1695","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M091","Count_NonGuideSelfHelpBookAppts","20","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M092","Count_GuideSelfHelpCompAppts","20","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M093","Count_NonGuideSelfHelpCompAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M095","Count_StructPhysActAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M097","Count_PsychoEducPeerSuppAppts","820","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M098","Count_OtherLIAppts","10","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M099","Count_EmploySuppAppts","725","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M100","Count_AppRelaxAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1001","Count_FacetoFaceAppts","2360","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1002","Count_TelephoneAppts","3060","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1004","Count_TalktypeAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1005","Count_EmailAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1006","Count_SMSAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1007","Count_InstantMessagingAppts","5","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1008","Count_ConsMediumOtherAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1009","Count_ConsMediumUnknownAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1010","Percentage_ReliableDeterioration","6","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1014","Count_ApptsStaffQualified","1365","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1015","Count_ApptsStaffInTraining","45","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1016","Count_ApptsStaffNotQualifiedOrInTraining","465","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1017","Count_ApptsMissingQualificationsAndTraining","6430","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1018","Count_ConsMediumVideoConsultAppts","2105","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1019","Count_ConsMediumMessageBoardAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M102","Count_CoupleTherapyDepAppts","40","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M1020","Count_ConsMediumChatRoomAppts","770","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M103","Count_CollabCareAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M104","Count_CounselDepAppts","390","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M105","Count_BPDAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M106","Count_EyeMoveDesenReproAppts","225","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M107","Count_MindfulAppts","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M108","Count_OtherHIAppts","1390","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M110","Count_CBTAppts","2985","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M111","Count_IPTAppts","50","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M112","Mean_HISessions","7.6","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M113","Mean_CBTSessions","7.2","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M114","Mean_BPDSessions","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M115","Mean_CounsellingSessions","7.1","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M116","Mean_IPTSession","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M117","Mean_CouplesSessions","*","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M119","Mean_OtherHISessions","4.8","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M120","Mean_LiSessions","3.5","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M121","Count_FirstToSecondTreatment28days","295","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M122","Count_FirstToSecondTreatment29to90days","275","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M123","Percentage_FirstToSecondTreatment28days","32","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M124","Percentage_FirstToSecondTreatmentOver28days","68","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M125","Percentage_FirstToSecondTreatment29to90days","30","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M126","Percentage_FirstToSecondTreatmentOver90days","39","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M141","Mean_ApptsFinishedCourseTreatment","8.3","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M142","Median_ApptsFinishedCourseTreatment","7.0","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M143","Max_ApptsFinishedCourseTreatment","27","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M144","Min_ApptsFinishedCourseTreatment","2","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M153","Count_EndedBeforeTreatment","540","talking_therapies",FALSE
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M179","Count_NotAtCaseness","15","talking_therapies",FALSE
